Meridian_No, Led_No, X, Y, Z
origin,,,,
11,14,466.76,265.92,273.81
11,15,482.21,292.16,282.89
11,16,495.75,321.73,290.84
11,17,508.2,352.34,298.15
11,18,519.1,385.1,304.55
11,19,527.85,414.17,309.7
11,20,535.31,446.28,314.08
11,21,540.52,479.15,317.14
11,22,545.1,512.28,319.83
12,1,195.07,8.85,57.55
12,2,224.97,21.13,65.43
12,3,255.06,35.08,73.35
12,4,283.16,50.23,80.74
12,5,311.24,67.04,88.13
12,6,335.78,83.93,94.59
12,7,361.89,103.28,101.47
12,8,387.22,126.94,108.14
12,9,412.14,151.07,114.69
12,10,434.25,174.15,120.52
12,11,455.86,199.48,126.2
12,12,475.81,225.9,131.45
12,13,493.75,253.09,136.18
12,14,509.89,281.37,140.43
12,15,525.99,312.74,144.66
12,16,539.1,342.7,148.12
12,17,551.17,373.57,151.29
12,18,562.01,402.94,154.15
12,19,571.26,436.26,156.58
12,20,577.87,467.85,158.32
12,21,583.02,500.28,159.68
12,22,586.26,532.55,160.53
13,1,197.19,7.63,0
13,2,228.03,19.7,0
13,3,258.24,33.29,0
13,4,289.1,49.42,0
13,5,319.39,66.46,0
13,6,346.74,84.93,0
13,7,373.43,104.01,0
13,8,399,125.74,0
13,9,422.89,148.83,0
13,10,445.9,173.3,0
13,11,467.49,198.81,0
13,12,488.2,225.55,0
13,13,506.79,252.73,0
13,14,524.33,281.5,0
13,15,542.28,311.3,0
13,16,556.05,340.35,0
13,17,568.26,371.1,0
13,18,579.3,401.51,0
13,19,588.06,432.88,0
13,20,595.13,464.51,0
13,21,601.2,497.31,0
13,22,605.01,530.48,0
14,1,191.1,6.82,52.19
14,2,221.14,17.214,60.38
14,3,252.87,31.38,69.03
14,4,281.55,46.12,76.85
14,5,309.39,62.8,84.44
14,6,336.45,80.89,91.81
14,7,362.45,101,98.9
14,8,387.33,121.3,105.68
14,9,410.72,143.78,112.06
14,10,443.67,167.77,118.32
14,11,456.14,191.73,121.44
14,12,477.54,219.07,130.27
14,13,495.55,247.11,135.19
14,14,512.28,276.54,139.74
14,15,527.07,306.32,143.78
14,16,539.66,335.36,147.21
14,17,551.99,365.49,150.57
14,18,561.72,396.99,153.22
14,19,569.2,427.34,155.26
14,20,575.51,458.99,156.98
14,21,580.3,492.88,158.29
14,22,583.39,525.73,159.13
15,1,171.79,5.02,100.76
15,2,199.14,15.46,116.82
15,3,223.55,27.34,131.16
15,4,249.3,42.16,146.29
15,5,274.58,58.32,161.14
15,6,299.3,75.37,175.66
15,7,322.85,94.48,189.49
15,8,345.96,115.6,203.07
15,9,369.19,139.17,216.71
15,10,389.65,162.59,228.73
15,11,410.09,189.53,240.74
15,12,428.08,215.79,251.31
15,13,444.62,243.29,261.02
15,14,460.23,272.22,270.2
15,15,473.36,300.55,277.91
15,16,485.89,330.17,285.27
15,17,497.07,360.45,291.84
15,18,506.47,389.42,297.35
15,19,515.62,421.05,302.73
15,20,521.99,453.63,306.48
15,21,526.97,485.96,309.4
15,22,530.43,520.49,311.43
16,1,143.66,7.3,146.93
16,2,165.89,18.1,169.55
16,3,187.7,30.23,191.75
16,4,208.71,43.54,213.13
16,5,229.73,59.12,234.52
16,6,249.37,76.61,254.51
16,7,268.67,94.87,274.14
16,8,289.32,115.88,295.16
16,9,306.58,137.55,312.72
16,10,323.35,160.92,329.79
16,11,339.55,185.53,346.28
16,12,354.22,210.44,361.2
16,13,368.43,236.9,375.66
16,14,381.89,265.18,389.36
16,15,392.67,292.53,400.33
16,16,402.47,321.83,410.3
16,17,411.72,353,419.71
16,18,419.76,384.04,427.9
16,19,426.08,416.68,434.33
16,20,431.17,448.51,439.51
16,21,435.11,480.93,443.51
16,22,438.59,513.88,447.06
17,1,89.13,2.55,161.85
17,2,100.23,9.01,181.67
17,3,115.45,18.22,208.83
17,4,130.47,30.48,235.64
17,5,145.52,43.98,262.49
17,6,157.09,57.95,283.15
17,7,171.21,75.28,308.34
17,8,184.92,93.03,332.82
17,9,198.54,112.21,357.12
17,10,211.44,133,380.14
17,11,223.6,153.98,401.84
17,12,234.96,177.35,422.12
18,1,48.95,7.46,193.63
18,2,56.49,18.76,223.45
18,3,64,32.27,253.17
18,4,71.3,48.01,282.05
18,5,77.31,64.34,305.81
18,6,84,81.4,332.29
18,7,90.64,100.38,358.55
18,8,97.06,121.26,383.94
18,9,103.38,143.38,408.94
19,1,0.05,3.04,197.09
19,2,0.05,13.29,229.26
19,3,0.05,26.01,260.28
19,4,0.05,39.57,289.85
19,5,0.05,54.56,320.66
19,6,0.05,71.27,349.1
19,7,0.05,89.58,376.66
19,8,0.05,109.67,403.52
19,9,0.05,129.89,429.17
20,1,51.41,4.74,188.23
20,2,60.03,15.22,218.32
20,3,69.69,27.88,252
20,4,77.91,42.09,280.64
20,5,85.7,58.33,307.84
20,6,92.79,76.27,332.54
20,7,100.15,96.69,358.21
20,8,107.56,117.91,384.07
20,9,114.18,139.38,407.15
21,1,101.26,6.11,178.98
21,2,116.6,16.95,206.01
21,3,131.46,30.87,232.2
21,4,142.97,44.23,252.49
21,5,156.97,61.62,277.18
21,6,171.16,79.36,302.19
21,7,184.62,99.1,325.92
21,8,197.27,118.52,348.22
21,9,209.82,140.56,370.35
21,10,221.7,164.45,391.29
21,11,233.09,189.27,411.37
22,1,137.22,8.87,140.06
22,2,160.72,22.74,163.98
22,3,181.78,37.28,185.4
22,4,202.19,53.44,206.17
22,5,222.06,72.17,226.4
22,6,241.65,91.46,246.33
22,7,259.54,112.35,264.53
22,8,276.99,135.53,282.29
22,9,292.92,158.91,298.5
22,10,310.2,184.31,316.08
22,11,324.43,210.9,330.57
22,12,337.62,238.99,343.99
22,13,349.29,267.99,355.86
22,14,360.2,297.42,366.96
22,15,369.69,326.61,376.62
22,16,378.01,358.07,385.09
22,17,384.89,389.68,392.08
22,18,391.34,422.76,398.65
22,19,395.13,453.46,402.51
22,20,398.37,485.66,405.81
22,21,400.68,519.35,408.16
22,22,401,552.44,408.48
23,1,169.7,3.03,99.86
23,2,197.25,12.7,116.04
23,3,223.98,24.2,131.74
23,4,250.37,37.28,147.25
23,5,275.84,52.37,162.21
23,6,301.17,67.77,117.09
